18951, 34.986187 ,Thu, Dec 12 2013 ,11:06 PM, Tomeka Vasquez
12835, 0.080132 ,Thu, Dec 12 2013 ,06:51 PM, Morton Brady
23167, 5.479341 ,Thu, Dec 12 2013 ,10:54 PM, Deeanna Key
8847, 15.117420 ,Thu, Dec 12 2013 ,11:18 PM, Laurice Holden
3745, 34.339569 ,Thu, Dec 12 2013 ,09:13 PM, Sean Stevens
15656, 3.381135 ,Thu, Dec 12 2013 ,07:10 PM, Eugena Ochoa
20675, 0.210106 ,Thu, Dec 12 2013 ,10:48 PM, Marlin Buck
12531, 4.148800 ,Thu, Dec 12 2013 ,06:04 PM, Tashia Miranda
13352, 6.243699 ,Thu, Dec 12 2013 ,10:28 PM, Micah Wilkins
28796, 7.895828 ,Thu, Dec 12 2013 ,11:27 PM, Granville Griffin
17763, 4.004456 ,Thu, Dec 12 2013 ,06:10 PM, Cherelle Potts
24343, 3.456106 ,Thu, Dec 12 2013 ,10:31 PM, Akilah Olsen
11646, 7.726405 ,Fri, Dec 13 2013 ,12:08 AM, Felipa Silva
15081, 1.254827 ,Fri, Dec 13 2013 ,12:34 AM, Alvera Ochoa
11225, 96.467583 ,Thu, Dec 12 2013 ,11:11 PM, Peggy Gomez
10154, 61.549412 ,Thu, Dec 12 2013 ,11:43 PM, Jefferey Petersen
10963, 3.761894 ,Thu, Dec 12 2013 ,08:46 PM, Gayle Lowery
32295, 3.986510 ,Thu, Dec 12 2013 ,11:18 PM, Lucien David
29483, 5.413924 ,Thu, Dec 12 2013 ,09:48 PM, Jarod Hebert
17544, 7.479225 ,Thu, Dec 12 2013 ,06:15 PM, Jade Best
16931, 4.707051 ,Thu, Dec 12 2013 ,07:55 PM, Nigel Ford
29525, 10.672817 ,Thu, Dec 12 2013 ,06:10 PM, Becki Robinson
18024, 3.421824 ,Thu, Dec 12 2013 ,08:22 PM, Kary Guerra
27449, 42.375183 ,Fri, Dec 13 2013 ,01:24 AM, Jon Craig
18355, 4.858369 ,Thu, Dec 12 2013 ,10:33 PM, Courtney Frye
16260, 13.004150 ,Thu, Dec 12 2013 ,11:46 PM, Alice Gross
32047, 52.014957 ,Thu, Dec 12 2013 ,07:37 PM, Sebrina Young
14706, 19.899561 ,Thu, Dec 12 2013 ,07:35 PM, Rosendo Paul
22168, 0.690091 ,Thu, Dec 12 2013 ,11:01 PM, Juana Baker
14380, 1.678796 ,Thu, Dec 12 2013 ,05:28 PM, Sung Moreno
15400, 2.299759 ,Fri, Dec 13 2013 ,12:10 AM, Tia Mills
20882, 11.160936 ,Thu, Dec 12 2013 ,06:36 PM, Lavera Arnold
2353, 9.576053 ,Thu, Dec 12 2013 ,06:59 PM, Ja Byrd
22453, 6.221182 ,Thu, Dec 12 2013 ,11:34 PM, Alena Morrison
17800, 4.268587 ,Thu, Dec 12 2013 ,04:44 PM, Gia Arellano
10021, 9.642288 ,Thu, Dec 12 2013 ,06:22 PM, Trent Sutton
25000, 2.013822 ,Thu, Dec 12 2013 ,10:39 PM, Trevor Levine
25072, 0.890459 ,Thu, Dec 12 2013 ,04:51 PM, Kizzy Weaver
31121, 5.179597 ,Fri, Dec 13 2013 ,12:31 AM, Melaine Petty
31589, 3.951338 ,Thu, Dec 12 2013 ,07:43 PM, Chan Perry
25204, 6.482300 ,Thu, Dec 12 2013 ,06:34 PM, Lovie Mcfarland
14491, 0.406870 ,Thu, Dec 12 2013 ,06:08 PM, Loraine Brady
